river,n_cell,value,sd,measure,buffer,year,source
Yamubetsu,27,2.574551,4.92097,chr_a,30km,2012,modis
Horonai,95,1.048437,0.291094,chr_a,30km,2012,modis
Shimonaefutoro,107,0.636129,0.185975,chr_a,30km,2012,modis
Masuhoro,49,0.737627,0.276379,chr_a,30km,2012,modis
Nobusha,77,0.75986,0.355934,chr_a,30km,2012,modis
Shokanbetsu,14,0.916299,0.971344,chr_a,30km,2012,modis
Atsuta,68,2.063419,1.181205,chr_a,30km,2012,modis
Shakotan,141,0.593843,0.283507,chr_a,30km,2012,modis
Yobetsu,22,0.540052,0.342912,chr_a,30km,2012,modis
Furuu,41,0.656231,0.223239,chr_a,30km,2012,modis
Tomari,84,0.677357,0.26669,chr_a,30km,2012,modis
Chihase,12,0.890492,0.308289,chr_a,30km,2012,modis
Sukki,58,0.95264,0.321144,chr_a,30km,2012,modis
Toshibetsu,31,0.828691,0.33889,chr_a,30km,2012,modis
Futoro,11,0.926799,0.515681,chr_a,30km,2012,modis
Usubetsu,49,0.791165,0.310969,chr_a,30km,2012,modis
Kenichi,21,0.981533,0.787088,chr_a,30km,2012,modis
Toppu,17,0.604919,0.153796,chr_a,30km,2012,modis
Hime,3,0.590283,0.126828,chr_a,30km,2012,modis
Ishizaki,62,0.474158,0.171269,chr_a,30km,2012,modis
Ookamotsu,58,0.359379,0.043389,chr_a,30km,2012,modis
Kokamotsu,6,0.370378,0.050845,chr_a,30km,2012,modis
Mogusa,12,0.340913,0.047251,chr_a,30km,2012,modis
Oyobe,42,0.320823,0.042112,chr_a,30km,2012,modis
Shiotomari,101,0.514185,0.198244,chr_a,30km,2012,modis
Haraki,57,0.59506,0.177635,chr_a,30km,2012,modis
Hidakahorobetsu,81,1.077069,0.233159,chr_a,30km,2012,modis
Nikanbetsu,49,1.971392,0.923608,chr_a,30km,2012,modis
Utabetsu,39,1.420296,0.230262,chr_a,30km,2012,modis
Nishibetsu,80,3.770427,1.129882,chr_a,30km,2013,modis
Onnebetsu,112,1.246159,0.861768,chr_a,30km,2013,modis
Okushibetsu,18,1.926636,1.37668,chr_a,30km,2013,modis
Yamubetsu,28,1.595143,0.661239,chr_a,30km,2013,modis
Horonai,95,0.883227,0.170617,chr_a,30km,2013,modis
Shimonaefutoro,106,0.671639,0.216359,chr_a,30km,2013,modis
Masuhoro,49,0.769526,0.434623,chr_a,30km,2013,modis
Nobusha,78,0.713409,0.470619,chr_a,30km,2013,modis
Shokanbetsu,14,0.943474,0.938204,chr_a,30km,2013,modis
Atsuta,70,2.327454,1.367305,chr_a,30km,2013,modis
Shakotan,140,0.376761,0.085238,chr_a,30km,2013,modis
Yobetsu,22,0.337456,0.024854,chr_a,30km,2013,modis
Furuu,42,0.44325,0.097145,chr_a,30km,2013,modis
Tomari,83,0.407103,0.067691,chr_a,30km,2013,modis
Chihase,12,0.413776,0.03702,chr_a,30km,2013,modis
Sukki,58,0.500103,0.111211,chr_a,30km,2013,modis
Toshibetsu,31,0.514102,0.141251,chr_a,30km,2013,modis
Futoro,10,0.489169,0.100845,chr_a,30km,2013,modis
Usubetsu,48,0.458006,0.067912,chr_a,30km,2013,modis
Kenichi,20,0.660613,0.476421,chr_a,30km,2013,modis
Toppu,17,0.527908,0.086743,chr_a,30km,2013,modis
Hime,3,0.395305,0.021235,chr_a,30km,2013,modis
Ishizaki,62,0.393894,0.06994,chr_a,30km,2013,modis
Ookamotsu,58,0.449944,0.080441,chr_a,30km,2013,modis
Kokamotsu,6,0.529146,0.080472,chr_a,30km,2013,modis
Mogusa,12,0.518134,0.183643,chr_a,30km,2013,modis
Oyobe,42,0.545145,0.182596,chr_a,30km,2013,modis
Shiotomari,105,0.819276,0.701187,chr_a,30km,2013,modis
Haraki,57,0.701759,0.154217,chr_a,30km,2013,modis
Hidakahorobetsu,83,1.119171,0.264559,chr_a,30km,2013,modis
Nikanbetsu,54,1.725471,0.37677,chr_a,30km,2013,modis
Utabetsu,39,1.638738,0.198697,chr_a,30km,2013,modis
Nishibetsu,77,3.676655,1.235767,chr_a,30km,2014,modis
Onnebetsu,112,1.785999,1.216981,chr_a,30km,2014,modis
Okushibetsu,16,3.332422,2.261468,chr_a,30km,2014,modis
Yamubetsu,27,2.332341,1.007698,chr_a,30km,2014,modis
Horonai,94,1.609523,0.883371,chr_a,30km,2014,modis
Shimonaefutoro,107,1.003469,0.246594,chr_a,30km,2014,modis
Masuhoro,49,0.947139,0.18501,chr_a,30km,2014,modis
Nobusha,77,0.916789,0.927424,chr_a,30km,2014,modis
Shokanbetsu,13,0.793259,0.304703,chr_a,30km,2014,modis
Atsuta,72,3.600635,2.67593,chr_a,30km,2014,modis
Shakotan,144,0.507055,0.131952,chr_a,30km,2014,modis
Yobetsu,22,0.450651,0.051985,chr_a,30km,2014,modis
Furuu,41,0.61257,0.161065,chr_a,30km,2014,modis
Tomari,84,0.59518,0.170997,chr_a,30km,2014,modis
Chihase,12,0.543117,0.211009,chr_a,30km,2014,modis
Sukki,60,0.860852,0.378038,chr_a,30km,2014,modis
Toshibetsu,31,0.938109,0.89396,chr_a,30km,2014,modis
Futoro,11,1.275353,0.651965,chr_a,30km,2014,modis
Usubetsu,49,1.243466,0.553051,chr_a,30km,2014,modis
Kenichi,22,1.355654,0.446342,chr_a,30km,2014,modis
Toppu,17,1.126989,0.156438,chr_a,30km,2014,modis
Hime,3,0.907113,0.093746,chr_a,30km,2014,modis
Ishizaki,62,1.001018,0.326623,chr_a,30km,2014,modis
Ookamotsu,58,0.788047,0.328094,chr_a,30km,2014,modis
Kokamotsu,6,1.102563,0.394697,chr_a,30km,2014,modis
Mogusa,12,0.806964,0.289689,chr_a,30km,2014,modis
Oyobe,42,1.037116,0.411179,chr_a,30km,2014,modis
Shiotomari,100,1.253544,0.883208,chr_a,30km,2014,modis
Haraki,57,1.426502,0.335693,chr_a,30km,2014,modis
Hidakahorobetsu,83,2.4392,0.645657,chr_a,30km,2014,modis
Nikanbetsu,51,2.758356,0.661096,chr_a,30km,2014,modis
Utabetsu,39,2.521535,0.614063,chr_a,30km,2014,modis
Nishibetsu,79,4.84265,1.418959,chr_a,30km,2015,modis
Onnebetsu,111,1.694933,0.606219,chr_a,30km,2015,modis
Okushibetsu,16,1.780593,0.301889,chr_a,30km,2015,modis
Yamubetsu,26,1.782342,0.41678,chr_a,30km,2015,modis
Horonai,95,1.152254,0.226888,chr_a,30km,2015,modis
Shimonaefutoro,107,1.105404,0.218331,chr_a,30km,2015,modis
Masuhoro,49,1.226794,0.442102,chr_a,30km,2015,modis
Nobusha,75,1.043466,0.309856,chr_a,30km,2015,modis
Shokanbetsu,13,1.423582,0.40395,chr_a,30km,2015,modis
Atsuta,68,2.83475,1.667687,chr_a,30km,2015,modis
Shakotan,140,0.827519,0.160065,chr_a,30km,2015,modis
Yobetsu,22,1.000788,0.218033,chr_a,30km,2015,modis
Furuu,42,0.928019,0.415675,chr_a,30km,2015,modis
Tomari,87,1.643693,0.787461,chr_a,30km,2015,modis
Chihase,12,2.107906,1.215575,chr_a,30km,2015,modis
Sukki,61,1.660304,0.915341,chr_a,30km,2015,modis
Toshibetsu,31,1.942366,0.713249,chr_a,30km,2015,modis
Futoro,10,1.731658,0.461023,chr_a,30km,2015,modis
Usubetsu,48,1.469896,0.60075,chr_a,30km,2015,modis
Kenichi,22,1.893422,0.764443,chr_a,30km,2015,modis
Toppu,17,1.887706,0.74782,chr_a,30km,2015,modis
Hime,3,1.632219,0.593538,chr_a,30km,2015,modis
Ishizaki,63,1.009138,0.182212,chr_a,30km,2015,modis
Ookamotsu,58,0.897902,0.137594,chr_a,30km,2015,modis
Kokamotsu,6,0.885102,0.038649,chr_a,30km,2015,modis
Mogusa,12,0.945628,0.313819,chr_a,30km,2015,modis
Oyobe,41,0.949983,0.303484,chr_a,30km,2015,modis
Shiotomari,104,1.381615,0.649205,chr_a,30km,2015,modis
Haraki,57,1.499579,0.530311,chr_a,30km,2015,modis
Hidakahorobetsu,82,1.501824,0.36405,chr_a,30km,2015,modis
Nikanbetsu,54,2.160347,0.653778,chr_a,30km,2015,modis
Utabetsu,39,2.076525,0.257711,chr_a,30km,2015,modis
Nishibetsu,75,3.594735,1.390292,chr_a,30km,2016,modis
Onnebetsu,111,1.345372,0.549102,chr_a,30km,2016,modis
Okushibetsu,16,1.521715,0.52669,chr_a,30km,2016,modis
Yamubetsu,26,1.592861,0.461183,chr_a,30km,2016,modis
Horonai,95,0.861568,0.100073,chr_a,30km,2016,modis
Shimonaefutoro,106,0.775414,0.394581,chr_a,30km,2016,modis
Masuhoro,49,1.070932,0.877702,chr_a,30km,2016,modis
Nobusha,77,1.078256,0.576537,chr_a,30km,2016,modis
Shokanbetsu,14,1.163185,0.517627,chr_a,30km,2016,modis
Atsuta,67,2.828823,1.700894,chr_a,30km,2016,modis
Shakotan,140,0.53973,0.13551,chr_a,30km,2016,modis
Yobetsu,22,0.472867,0.021656,chr_a,30km,2016,modis
Furuu,41,0.636965,0.227368,chr_a,30km,2016,modis
Tomari,84,0.594161,0.191623,chr_a,30km,2016,modis
Chihase,12,0.618274,0.143157,chr_a,30km,2016,modis
Sukki,60,0.734455,0.308709,chr_a,30km,2016,modis
Toshibetsu,31,1.092024,0.434946,chr_a,30km,2016,modis
Futoro,11,1.186846,0.514796,chr_a,30km,2016,modis
Usubetsu,49,1.209836,0.750256,chr_a,30km,2016,modis
Kenichi,21,1.258695,0.27576,chr_a,30km,2016,modis
Toppu,17,1.210542,0.474435,chr_a,30km,2016,modis
Hime,3,1.011091,0.602075,chr_a,30km,2016,modis
Ishizaki,62,1.016542,0.464843,chr_a,30km,2016,modis
Ookamotsu,58,0.741558,0.191121,chr_a,30km,2016,modis
Kokamotsu,6,0.842703,0.184245,chr_a,30km,2016,modis
Mogusa,12,0.7826,0.134977,chr_a,30km,2016,modis
Oyobe,42,0.779968,0.24295,chr_a,30km,2016,modis
Shiotomari,98,0.844688,0.399319,chr_a,30km,2016,modis
Haraki,57,0.720378,0.186933,chr_a,30km,2016,modis
Hidakahorobetsu,82,1.381744,0.251331,chr_a,30km,2016,modis
Nikanbetsu,51,1.801747,0.268077,chr_a,30km,2016,modis
Utabetsu,39,1.603935,0.219274,chr_a,30km,2016,modis
Nishibetsu,73,2.15343,0.749606,chr_a,50km,1999,seawifs
Onnebetsu,94,1.039473,0.591478,chr_a,50km,1999,seawifs
Okushibetsu,5,1.243608,0.174254,chr_a,50km,1999,seawifs
Yamubetsu,15,1.115577,0.294517,chr_a,50km,1999,seawifs
Horonai,71,1.169483,0.276768,chr_a,50km,1999,seawifs
Shimonaefutoro,88,0.9235,0.419806,chr_a,50km,1999,seawifs
Masuhoro,27,0.580115,0.138333,chr_a,50km,1999,seawifs
Nobusha,61,0.754843,0.323399,chr_a,50km,1999,seawifs
Shokanbetsu,8,0.769964,0.697101,chr_a,50km,1999,seawifs
Atsuta,36,1.561461,1.064381,chr_a,50km,1999,seawifs
Shakotan,101,0.444037,0.118605,chr_a,50km,1999,seawifs
Yobetsu,9,0.463826,0.087245,chr_a,50km,1999,seawifs
Furuu,14,0.457983,0.149402,chr_a,50km,1999,seawifs
Tomari,52,0.550699,0.241151,chr_a,50km,1999,seawifs
Chihase,4,0.54661,0.030286,chr_a,50km,1999,seawifs
Sukki,27,0.549588,0.037449,chr_a,50km,1999,seawifs
Toshibetsu,21,0.55585,0.126492,chr_a,50km,1999,seawifs
Futoro,4,0.54229,0.025358,chr_a,50km,1999,seawifs
Usubetsu,23,0.643913,0.368673,chr_a,50km,1999,seawifs
Kenichi,17,0.86519,0.368647,chr_a,50km,1999,seawifs
Toppu,8,0.690003,0.313658,chr_a,50km,1999,seawifs
Hime,2,0.772064,0.333223,chr_a,50km,1999,seawifs
Ishizaki,42,0.473404,0.089598,chr_a,50km,1999,seawifs
Ookamotsu,30,0.465611,0.044394,chr_a,50km,1999,seawifs
Kokamotsu,2,0.424327,0.004272,chr_a,50km,1999,seawifs
Mogusa,4,0.469757,0.056397,chr_a,50km,1999,seawifs
Oyobe,16,0.504411,0.106135,chr_a,50km,1999,seawifs
Shiotomari,72,0.755335,0.183631,chr_a,50km,1999,seawifs
Haraki,20,0.824791,0.357576,chr_a,50km,1999,seawifs
Hidakahorobetsu,77,1.255159,0.513613,chr_a,50km,1999,seawifs
Nikanbetsu,30,1.403879,0.288569,chr_a,50km,1999,seawifs
Utabetsu,19,1.331795,0.30932,chr_a,50km,1999,seawifs
Nishibetsu,74,2.265936,0.701436,chr_a,50km,2000,seawifs
Onnebetsu,89,1.062404,0.227675,chr_a,50km,2000,seawifs
Okushibetsu,5,1.363388,0.257381,chr_a,50km,2000,seawifs
Yamubetsu,15,1.112588,0.237245,chr_a,50km,2000,seawifs
Horonai,69,0.896713,0.199845,chr_a,50km,2000,seawifs
Shimonaefutoro,95,0.741575,0.257428,chr_a,50km,2000,seawifs
Masuhoro,28,0.739205,0.329817,chr_a,50km,2000,seawifs
Nobusha,65,1.148573,0.553478,chr_a,50km,2000,seawifs
Shokanbetsu,7,1.41002,1.011813,chr_a,50km,2000,seawifs
Atsuta,32,1.31968,0.88929,chr_a,50km,2000,seawifs
Shakotan,96,0.574127,0.08861,chr_a,50km,2000,seawifs
Yobetsu,9,0.556758,0.085342,chr_a,50km,2000,seawifs
Furuu,14,0.583232,0.166327,chr_a,50km,2000,seawifs
Tomari,55,0.75676,0.363103,chr_a,50km,2000,seawifs
Chihase,4,0.76188,0.08545,chr_a,50km,2000,seawifs
Sukki,27,0.795873,0.140269,chr_a,50km,2000,seawifs
Toshibetsu,22,0.846323,0.695067,chr_a,50km,2000,seawifs
Futoro,4,0.707357,0.16666,chr_a,50km,2000,seawifs
Usubetsu,23,0.665322,0.17228,chr_a,50km,2000,seawifs
Kenichi,16,0.784648,0.148415,chr_a,50km,2000,seawifs
Toppu,7,0.654522,0.155392,chr_a,50km,2000,seawifs
Hime,2,0.621958,0.041339,chr_a,50km,2000,seawifs
Ishizaki,42,0.583931,0.128041,chr_a,50km,2000,seawifs
Ookamotsu,30,0.536319,0.071022,chr_a,50km,2000,seawifs
Kokamotsu,2,0.547665,0.021575,chr_a,50km,2000,seawifs
Mogusa,4,0.6049,0.165887,chr_a,50km,2000,seawifs
Oyobe,16,0.542281,0.087285,chr_a,50km,2000,seawifs
Shiotomari,70,0.811067,0.224357,chr_a,50km,2000,seawifs
Haraki,20,0.78876,0.045476,chr_a,50km,2000,seawifs
Hidakahorobetsu,74,1.299743,0.516794,chr_a,50km,2000,seawifs
Nikanbetsu,31,1.51309,0.764784,chr_a,50km,2000,seawifs
Utabetsu,19,1.139033,0.227954,chr_a,50km,2000,seawifs
Nishibetsu,76,2.295301,0.413649,chr_a,50km,2001,seawifs
Onnebetsu,93,1.296846,0.462366,chr_a,50km,2001,seawifs
Okushibetsu,5,1.216796,0.044075,chr_a,50km,2001,seawifs
Yamubetsu,15,1.204205,0.066365,chr_a,50km,2001,seawifs
Horonai,71,1.064241,0.221835,chr_a,50km,2001,seawifs
Shimonaefutoro,97,0.906014,0.242344,chr_a,50km,2001,seawifs
Masuhoro,28,0.736872,0.14219,chr_a,50km,2001,seawifs
Nobusha,62,0.912697,0.746827,chr_a,50km,2001,seawifs
Shokanbetsu,7,1.045493,0.477936,chr_a,50km,2001,seawifs
Atsuta,32,1.13875,0.579676,chr_a,50km,2001,seawifs
Shakotan,96,0.621664,0.094676,chr_a,50km,2001,seawifs
Yobetsu,9,0.538284,0.05289,chr_a,50km,2001,seawifs
Furuu,14,0.571895,0.069319,chr_a,50km,2001,seawifs
Tomari,53,0.675768,0.151446,chr_a,50km,2001,seawifs
Chihase,4,0.571911,0.027065,chr_a,50km,2001,seawifs
Sukki,28,0.579534,0.071638,chr_a,50km,2001,seawifs
Toshibetsu,21,0.603326,0.158291,chr_a,50km,2001,seawifs
Futoro,4,0.574526,0.06554,chr_a,50km,2001,seawifs
Usubetsu,23,0.594222,0.207215,chr_a,50km,2001,seawifs
Kenichi,16,0.771616,0.298124,chr_a,50km,2001,seawifs
Toppu,8,0.630768,0.214061,chr_a,50km,2001,seawifs
Hime,2,0.435757,0.107986,chr_a,50km,2001,seawifs
Ishizaki,41,0.619145,0.124802,chr_a,50km,2001,seawifs
Ookamotsu,30,0.628754,0.086518,chr_a,50km,2001,seawifs
Kokamotsu,2,0.654917,0.020958,chr_a,50km,2001,seawifs
Mogusa,5,0.622894,0.032609,chr_a,50km,2001,seawifs
Oyobe,17,0.598341,0.090705,chr_a,50km,2001,seawifs
Shiotomari,72,0.787177,0.267677,chr_a,50km,2001,seawifs
Haraki,20,0.783063,0.169204,chr_a,50km,2001,seawifs
Hidakahorobetsu,75,1.737226,0.849533,chr_a,50km,2001,seawifs
Nikanbetsu,31,1.869598,0.32693,chr_a,50km,2001,seawifs
Utabetsu,19,1.765477,0.192052,chr_a,50km,2001,seawifs
Nishibetsu,75,2.54044,0.818259,chr_a,50km,2002,seawifs
Onnebetsu,93,1.142928,0.195894,chr_a,50km,2002,seawifs
Okushibetsu,5,1.091487,0.035354,chr_a,50km,2002,seawifs
Yamubetsu,15,1.199986,0.200292,chr_a,50km,2002,seawifs
Horonai,74,1.069712,0.169614,chr_a,50km,2002,seawifs
Shimonaefutoro,95,0.897735,0.166885,chr_a,50km,2002,seawifs
Masuhoro,28,0.77174,0.092522,chr_a,50km,2002,seawifs
Nobusha,61,0.606806,0.160209,chr_a,50km,2002,seawifs
Shokanbetsu,7,0.787861,0.331838,chr_a,50km,2002,seawifs
Atsuta,32,0.84964,0.306036,chr_a,50km,2002,seawifs
Shakotan,96,0.601553,0.078541,chr_a,50km,2002,seawifs
Yobetsu,9,0.645533,0.042236,chr_a,50km,2002,seawifs
Furuu,14,0.548983,0.071017,chr_a,50km,2002,seawifs
Tomari,57,0.718384,0.213961,chr_a,50km,2002,seawifs
Chihase,6,0.747294,0.096811,chr_a,50km,2002,seawifs
Sukki,28,0.697849,0.07966,chr_a,50km,2002,seawifs
Toshibetsu,22,0.643074,0.165146,chr_a,50km,2002,seawifs
Futoro,4,0.618097,0.203204,chr_a,50km,2002,seawifs
Usubetsu,23,0.643656,0.144333,chr_a,50km,2002,seawifs
Kenichi,15,0.761354,0.335487,chr_a,50km,2002,seawifs
Toppu,7,1.335087,1.3252,chr_a,50km,2002,seawifs
Hime,2,0.813992,0.264668,chr_a,50km,2002,seawifs
Ishizaki,41,0.696696,0.600635,chr_a,50km,2002,seawifs
Ookamotsu,30,0.754985,0.183892,chr_a,50km,2002,seawifs
Kokamotsu,2,0.99324,0.034441,chr_a,50km,2002,seawifs
Mogusa,4,0.755836,0.084542,chr_a,50km,2002,seawifs
Oyobe,16,0.721112,0.165281,chr_a,50km,2002,seawifs
Shiotomari,72,0.882078,0.313196,chr_a,50km,2002,seawifs
Haraki,20,0.977294,0.317352,chr_a,50km,2002,seawifs
Hidakahorobetsu,73,1.566965,0.347571,chr_a,50km,2002,seawifs
Nikanbetsu,30,2.093366,0.2873,chr_a,50km,2002,seawifs
Utabetsu,19,2.319797,0.396764,chr_a,50km,2002,seawifs
Nishibetsu,73,2.660907,1.02836,chr_a,50km,2003,seawifs
Onnebetsu,90,1.044569,0.31498,chr_a,50km,2003,seawifs
Okushibetsu,5,1.200063,0.107777,chr_a,50km,2003,seawifs
Yamubetsu,15,1.19049,0.151726,chr_a,50km,2003,seawifs
Horonai,69,0.958703,0.258436,chr_a,50km,2003,seawifs
Shimonaefutoro,93,0.850251,0.17805,chr_a,50km,2003,seawifs
Masuhoro,27,0.873945,0.271139,chr_a,50km,2003,seawifs
Nobusha,63,0.701832,0.230005,chr_a,50km,2003,seawifs
Shokanbetsu,7,0.909533,0.449838,chr_a,50km,2003,seawifs
Atsuta,32,1.075013,0.53483,chr_a,50km,2003,seawifs
Shakotan,96,0.441189,0.122256,chr_a,50km,2003,seawifs
Yobetsu,9,0.38825,0.031511,chr_a,50km,2003,seawifs
Furuu,14,0.555103,0.272901,chr_a,50km,2003,seawifs
Tomari,53,0.659845,0.635757,chr_a,50km,2003,seawifs
Chihase,4,0.383244,0.039568,chr_a,50km,2003,seawifs
Sukki,28,0.400252,0.075121,chr_a,50km,2003,seawifs
Toshibetsu,21,0.483635,0.180854,chr_a,50km,2003,seawifs
Futoro,4,0.428443,0.036394,chr_a,50km,2003,seawifs
Usubetsu,23,0.544765,0.305465,chr_a,50km,2003,seawifs
Kenichi,15,0.962504,0.603608,chr_a,50km,2003,seawifs
Toppu,6,0.807293,0.541839,chr_a,50km,2003,seawifs
Hime,2,0.616447,0.143499,chr_a,50km,2003,seawifs
Ishizaki,41,0.388952,0.108956,chr_a,50km,2003,seawifs
Ookamotsu,30,0.417982,0.12184,chr_a,50km,2003,seawifs
Kokamotsu,2,0.504657,0.182891,chr_a,50km,2003,seawifs
Mogusa,4,0.569658,0.135257,chr_a,50km,2003,seawifs
Oyobe,16,0.619821,0.178207,chr_a,50km,2003,seawifs
Shiotomari,72,0.793507,0.413302,chr_a,50km,2003,seawifs
Haraki,20,0.73723,0.141958,chr_a,50km,2003,seawifs
Hidakahorobetsu,72,1.642812,0.744008,chr_a,50km,2003,seawifs
Nikanbetsu,31,1.72208,0.353373,chr_a,50km,2003,seawifs
Utabetsu,19,1.420788,0.300028,chr_a,50km,2003,seawifs
Nishibetsu,284,3.051355,1.104051,chr_a,50km,2003,modis
Onnebetsu,291,1.255714,1.868857,chr_a,50km,2003,modis
Okushibetsu,12,1.199956,0.240256,chr_a,50km,2003,modis
Yamubetsu,37,1.173325,0.275178,chr_a,50km,2003,modis
Horonai,244,0.995747,0.244504,chr_a,50km,2003,modis
Shimonaefutoro,335,0.805879,0.236994,chr_a,50km,2003,modis
Masuhoro,97,0.814344,0.244008,chr_a,50km,2003,modis
Nobusha,211,0.778,0.419773,chr_a,50km,2003,modis
Shokanbetsu,34,0.980867,1.079882,chr_a,50km,2003,modis
Atsuta,102,1.569144,1.530192,chr_a,50km,2003,modis
Shakotan,344,0.426454,0.103844,chr_a,50km,2003,modis
Yobetsu,44,0.374627,0.055962,chr_a,50km,2003,modis
Furuu,36,0.448185,0.12323,chr_a,50km,2003,modis
Tomari,192,0.620932,0.520361,chr_a,50km,2003,modis
Chihase,22,0.36868,0.018754,chr_a,50km,2003,modis
Sukki,99,0.434258,0.089648,chr_a,50km,2003,modis
Toshibetsu,76,0.599929,0.270604,chr_a,50km,2003,modis
Futoro,20,0.504029,0.044876,chr_a,50km,2003,modis
Usubetsu,83,0.520492,0.236446,chr_a,50km,2003,modis
Kenichi,33,1.05455,0.662849,chr_a,50km,2003,modis
Toppu,30,1.030685,0.860248,chr_a,50km,2003,modis
Hime,9,0.883164,0.536445,chr_a,50km,2003,modis
Ishizaki,173,0.471325,0.097349,chr_a,50km,2003,modis
Ookamotsu,109,0.484322,0.074417,chr_a,50km,2003,modis
Kokamotsu,4,0.483115,0.044275,chr_a,50km,2003,modis
Mogusa,21,0.532128,0.126898,chr_a,50km,2003,modis
Oyobe,52,0.604885,0.186574,chr_a,50km,2003,modis
Shiotomari,241,0.997421,0.538086,chr_a,50km,2003,modis
Haraki,80,1.07691,0.362298,chr_a,50km,2003,modis
Hidakahorobetsu,273,1.579598,0.572682,chr_a,50km,2003,modis
Nikanbetsu,122,1.709217,0.466984,chr_a,50km,2003,modis
Utabetsu,69,1.486127,0.349185,chr_a,50km,2003,modis
Nishibetsu,282,2.310644,0.850742,chr_a,50km,2004,modis
Onnebetsu,287,1.266732,0.707105,chr_a,50km,2004,modis
Okushibetsu,12,1.520401,0.673906,chr_a,50km,2004,modis
Yamubetsu,37,1.296635,0.46989,chr_a,50km,2004,modis
Horonai,243,1.307782,0.448688,chr_a,50km,2004,modis
Shimonaefutoro,339,0.836644,0.35219,chr_a,50km,2004,modis
Masuhoro,97,0.809227,0.351388,chr_a,50km,2004,modis
Nobusha,207,0.825302,0.313677,chr_a,50km,2004,modis
Shokanbetsu,34,0.932206,0.746749,chr_a,50km,2004,modis
Atsuta,100,1.612763,1.442355,chr_a,50km,2004,modis
Shakotan,347,0.63408,0.254947,chr_a,50km,2004,modis
Yobetsu,44,0.758506,0.267392,chr_a,50km,2004,modis
Furuu,33,0.816479,0.300296,chr_a,50km,2004,modis
Tomari,189,0.700374,0.41669,chr_a,50km,2004,modis
Chihase,22,0.598568,0.115986,chr_a,50km,2004,modis
Sukki,97,0.612708,0.147704,chr_a,50km,2004,modis
Toshibetsu,72,0.762163,0.282401,chr_a,50km,2004,modis
Futoro,20,0.671653,0.114017,chr_a,50km,2004,modis
Usubetsu,83,0.675019,0.186148,chr_a,50km,2004,modis
Kenichi,33,0.804984,0.414776,chr_a,50km,2004,modis
Toppu,28,1.119769,0.854926,chr_a,50km,2004,modis
Hime,8,0.952033,0.456938,chr_a,50km,2004,modis
Ishizaki,174,0.513199,0.144175,chr_a,50km,2004,modis
Ookamotsu,110,0.509046,0.076225,chr_a,50km,2004,modis
Kokamotsu,4,0.577924,0.088924,chr_a,50km,2004,modis
Mogusa,21,0.53304,0.115964,chr_a,50km,2004,modis
Oyobe,52,0.690963,0.215782,chr_a,50km,2004,modis
Shiotomari,240,0.948861,0.390288,chr_a,50km,2004,modis
Haraki,81,1.2572,0.588866,chr_a,50km,2004,modis
Hidakahorobetsu,277,1.890799,0.6701,chr_a,50km,2004,modis
Nikanbetsu,122,2.198449,0.537057,chr_a,50km,2004,modis
Utabetsu,69,2.013213,0.486191,chr_a,50km,2004,modis
Nishibetsu,284,3.170413,2.237579,chr_a,50km,2005,modis
Onnebetsu,289,1.362806,0.708755,chr_a,50km,2005,modis
Okushibetsu,11,1.747081,0.531253,chr_a,50km,2005,modis
Yamubetsu,36,1.540624,0.441797,chr_a,50km,2005,modis
Horonai,243,0.964798,0.162909,chr_a,50km,2005,modis
Shimonaefutoro,339,0.740218,0.210869,chr_a,50km,2005,modis
Masuhoro,97,0.488734,0.145656,chr_a,50km,2005,modis
Nobusha,208,1.005176,0.691531,chr_a,50km,2005,modis
Shokanbetsu,34,1.321959,1.518819,chr_a,50km,2005,modis
Atsuta,103,2.28663,1.913114,chr_a,50km,2005,modis
Shakotan,342,0.532183,0.19727,chr_a,50km,2005,modis
Yobetsu,44,0.496149,0.175858,chr_a,50km,2005,modis
Furuu,36,0.545098,0.279503,chr_a,50km,2005,modis
Tomari,190,0.769553,0.512203,chr_a,50km,2005,modis
Chihase,22,0.670718,0.320285,chr_a,50km,2005,modis
Sukki,99,0.947018,0.376357,chr_a,50km,2005,modis
Toshibetsu,74,0.680241,0.445439,chr_a,50km,2005,modis
Futoro,20,0.381053,0.060482,chr_a,50km,2005,modis
Usubetsu,83,0.490877,0.27207,chr_a,50km,2005,modis
Kenichi,33,0.815583,0.459026,chr_a,50km,2005,modis
Toppu,27,0.701151,0.393635,chr_a,50km,2005,modis
Hime,8,0.895292,0.570013,chr_a,50km,2005,modis
Ishizaki,173,0.411969,0.195223,chr_a,50km,2005,modis
Ookamotsu,110,0.427696,0.116827,chr_a,50km,2005,modis
Kokamotsu,4,0.484232,0.174348,chr_a,50km,2005,modis
Mogusa,21,0.481278,0.166831,chr_a,50km,2005,modis
Oyobe,52,0.583687,0.257358,chr_a,50km,2005,modis
Shiotomari,241,0.938716,0.391445,chr_a,50km,2005,modis
Haraki,80,0.854416,0.226868,chr_a,50km,2005,modis
Hidakahorobetsu,276,1.909226,0.474769,chr_a,50km,2005,modis
Nikanbetsu,122,1.76152,0.509984,chr_a,50km,2005,modis
Utabetsu,69,1.782371,0.495696,chr_a,50km,2005,modis
Nishibetsu,285,3.325997,4.202564,chr_a,50km,2006,modis
Onnebetsu,289,1.158299,0.364274,chr_a,50km,2006,modis
Okushibetsu,12,1.376292,0.206394,chr_a,50km,2006,modis
